127.0.0.1 - - [28/May/2020:10:36:05 -0300] "GET / HTTP/1.1" 404 763
0:0:0:0:0:0:0:1 - - [28/May/2020:10:36:30 -0300] "GET /gerenciador/novaEmpresa HTTP/1.1" 200 50
0:0:0:0:0:0:0:1 - - [28/May/2020:10:36:30 -0300] "GET /favicon.ico HTTP/1.1" 404 774
0:0:0:0:0:0:0:1 - - [28/May/2020:10:37:05 -0300] "GET /gerenciador/novaEmpresa HTTP/1.1" 200 50
0:0:0:0:0:0:0:1 - - [28/May/2020:10:37:05 -0300] "GET /gerenciador/novaEmpresa HTTP/1.1" 200 55
0:0:0:0:0:0:0:1 - - [28/May/2020:10:37:05 -0300] "GET /gerenciador/novaEmpresa HTTP/1.1" 200 55
0:0:0:0:0:0:0:1 - - [28/May/2020:10:37:06 -0300] "GET /gerenciador/novaEmpresa HTTP/1.1" 200 55
0:0:0:0:0:0:0:1 - - [28/May/2020:10:37:06 -0300] "GET /gerenciador/novaEmpresa HTTP/1.1" 200 55
0:0:0:0:0:0:0:1 - - [28/May/2020:10:37:06 -0300] "GET /gerenciador/novaEmpresa HTTP/1.1" 200 55
0:0:0:0:0:0:0:1 - - [28/May/2020:10:37:06 -0300] "GET /gerenciador/novaEmpresa HTTP/1.1" 200 55
0:0:0:0:0:0:0:1 - - [28/May/2020:10:37:06 -0300] "GET /gerenciador/novaEmpresa HTTP/1.1" 200 55
0:0:0:0:0:0:0:1 - - [28/May/2020:10:37:06 -0300] "GET /gerenciador/novaEmpresa HTTP/1.1" 200 55
0:0:0:0:0:0:0:1 - - [28/May/2020:10:37:06 -0300] "GET /gerenciador/novaEmpresa HTTP/1.1" 200 55
0:0:0:0:0:0:0:1 - - [28/May/2020:10:37:07 -0300] "GET /gerenciador/novaEmpresa HTTP/1.1" 200 55
0:0:0:0:0:0:0:1 - - [28/May/2020:10:37:07 -0300] "GET /gerenciador/novaEmpresa HTTP/1.1" 200 55
0:0:0:0:0:0:0:1 - - [28/May/2020:10:37:07 -0300] "GET /gerenciador/novaEmpresa HTTP/1.1" 200 55
0:0:0:0:0:0:0:1 - - [28/May/2020:10:37:37 -0300] "GET /gerenciador/novaEmpresa HTTP/1.1" 200 59
0:0:0:0:0:0:0:1 - - [28/May/2020:10:49:44 -0300] "GET /gerenciador/novaEmpresa?nome=alura HTTP/1.1" 200 63
0:0:0:0:0:0:0:1 - - [28/May/2020:10:54:04 -0300] "GET /gerenciador/novaEmpresa?nome=alura HTTP/1.1" 200 65
0:0:0:0:0:0:0:1 - - [28/May/2020:10:54:19 -0300] "GET /gerenciador/novaEmpresa?nome=Alura HTTP/1.1" 200 65
0:0:0:0:0:0:0:1 - - [28/May/2020:11:01:02 -0300] "GET /gerenciador/formNovaEmpresa.html HTTP/1.1" 200 251
0:0:0:0:0:0:0:1 - - [28/May/2020:11:01:12 -0300] "POST /gerenciador/novaEmpresa HTTP/1.1" 200 69
