127.0.0.1 - - [05/Jun/2020:10:50:46 -0300] "GET / HTTP/1.1" 404 763
0:0:0:0:0:0:0:1 - - [05/Jun/2020:10:51:05 -0300] "GET /gerenciador/formNovaEmpresa.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [05/Jun/2020:10:51:05 -0300] "GET /favicon.ico HTTP/1.1" 404 774
0:0:0:0:0:0:0:1 - - [05/Jun/2020:10:51:34 -0300] "POST /gerenciador/novaEmpresa HTTP/1.1" 405 748
0:0:0:0:0:0:0:1 - - [05/Jun/2020:10:53:18 -0300] "POST /gerenciador/novaEmpresa HTTP/1.1" 200 301
0:0:0:0:0:0:0:1 - - [05/Jun/2020:10:53:23 -0300] "POST /gerenciador/novaEmpresa HTTP/1.1" 200 338
0:0:0:0:0:0:0:1 - - [05/Jun/2020:10:53:26 -0300] "POST /gerenciador/novaEmpresa HTTP/1.1" 200 375
0:0:0:0:0:0:0:1 - - [05/Jun/2020:10:53:26 -0300] "POST /gerenciador/novaEmpresa HTTP/1.1" 200 412
0:0:0:0:0:0:0:1 - - [05/Jun/2020:10:53:26 -0300] "POST /gerenciador/novaEmpresa HTTP/1.1" 200 449
0:0:0:0:0:0:0:1 - - [05/Jun/2020:10:53:27 -0300] "POST /gerenciador/novaEmpresa HTTP/1.1" 200 486
0:0:0:0:0:0:0:1 - - [05/Jun/2020:10:53:27 -0300] "POST /gerenciador/novaEmpresa HTTP/1.1" 200 523
0:0:0:0:0:0:0:1 - - [05/Jun/2020:10:53:27 -0300] "POST /gerenciador/novaEmpresa HTTP/1.1" 200 560
0:0:0:0:0:0:0:1 - - [05/Jun/2020:10:53:27 -0300] "POST /gerenciador/novaEmpresa HTTP/1.1" 200 597
0:0:0:0:0:0:0:1 - - [05/Jun/2020:10:53:28 -0300] "POST /gerenciador/novaEmpresa HTTP/1.1" 200 634
0:0:0:0:0:0:0:1 - - [05/Jun/2020:10:53:28 -0300] "POST /gerenciador/novaEmpresa HTTP/1.1" 200 671
0:0:0:0:0:0:0:1 - - [05/Jun/2020:10:53:28 -0300] "POST /gerenciador/novaEmpresa HTTP/1.1" 200 708
